ID,Acción,Tiempo_estimado_min,Requiere_insumo,Prioridad,Acción_previa
532,Ensamblar marco,38,Sí,Media,Control de calidad
533,Instalar ruedas,29,No,Media,Control de calidad
534,Pintar,38,Sí,Media,Control de calidad
535,Ensamblar marco,29,No,Media,Ensamblar marco
536,Ensamblar marco,33,Sí,Alta,Ensamblar marco
537,Pintar,59,Sí,Alta,Ajuste frenos
538,Ajuste frenos,26,No,Media,Instalar ruedas
539,Control de calidad,42,Sí,Alta,Instalar ruedas
540,Ajuste frenos,44,No,Baja,Pintar
541,Instalar ruedas,38,Sí,Alta,Ensamblar marco
542,Ajuste frenos,10,No,Baja,Instalar ruedas
543,Ajuste frenos,23,Sí,Baja,Pintar
544,Ajuste frenos,25,Sí,Alta,Control de calidad
545,Pintar,10,No,Media,Control de calidad
546,Pintar,59,Sí,Media,Ajuste frenos
547,Instalar ruedas,46,Sí,Baja,Ajuste frenos
548,Ensamblar marco,33,Sí,Alta,Ensamblar marco
549,Instalar ruedas,17,No,Alta,Instalar ruedas
550,Pintar,30,Sí,Baja,Control de calidad
551,Instalar ruedas,22,Sí,Baja,Control de calidad
552,Instalar ruedas,45,Sí,Baja,Ajuste frenos
553,Ajuste frenos,41,Sí,Media,Control de calidad
554,Instalar ruedas,55,Sí,Baja,Control de calidad
555,Control de calidad,12,Sí,Alta,Instalar ruedas
556,Instalar ruedas,30,Sí,Media,Ensamblar marco
557,Pintar,16,No,Alta,Ensamblar marco
558,Control de calidad,36,Sí,Alta,Ensamblar marco
559,Ensamblar marco,49,No,Alta,Pintar
560,Instalar ruedas,52,No,Media,Pintar
561,Ajuste frenos,12,No,Media,Control de calidad
562,Ajuste frenos,15,No,Baja,Instalar ruedas
563,Instalar ruedas,19,No,Alta,Ajuste frenos
564,Ensamblar marco,50,Sí,Alta,Pintar
565,Ajuste frenos,55,Sí,Baja,Pintar
566,Ensamblar marco,54,No,Baja,Control de calidad
567,Ensamblar marco,22,Sí,Alta,Instalar ruedas
568,Ajuste frenos,45,No,Media,Ensamblar marco
569,Pintar,50,Sí,Media,Ensamblar marco
570,Instalar ruedas,36,Sí,Alta,Instalar ruedas
571,Ajuste frenos,59,No,Baja,Ajuste frenos
572,Control de calidad,44,Sí,Media,Ensamblar marco
573,Control de calidad,57,Sí,Baja,Control de calidad
574,Pintar,12,No,Baja,Ajuste frenos
575,Control de calidad,47,Sí,Media,Instalar ruedas
576,Pintar,41,Sí,Media,Ajuste frenos
577,Instalar ruedas,11,No,Alta,Control de calidad
578,Ensamblar marco,59,No,Media,Ajuste frenos
579,Control de calidad,35,Sí,Baja,Control de calidad
580,Ajuste frenos,54,No,Baja,Ajuste frenos
581,Control de calidad,56,No,Media,Control de calidad
582,Control de calidad,55,Sí,Media,Pintar
583,Pintar,13,Sí,Media,Ajuste frenos
584,Ajuste frenos,27,No,Baja,Ensamblar marco
585,Pintar,41,No,Media,Instalar ruedas
586,Ajuste frenos,46,No,Media,Control de calidad
587,Ensamblar marco,52,Sí,Alta,Pintar
588,Ensamblar marco,23,Sí,Alta,Ajuste frenos
589,Ensamblar marco,51,No,Alta,Ajuste frenos
590,Control de calidad,48,No,Alta,Control de calidad
591,Ensamblar marco,28,Sí,Media,Instalar ruedas
592,Pintar,12,Sí,Alta,Pintar
593,Pintar,20,Sí,Media,Instalar ruedas
594,Control de calidad,45,No,Media,Instalar ruedas
595,Instalar ruedas,16,Sí,Alta,Pintar
596,Pintar,44,Sí,Baja,Instalar ruedas
597,Pintar,23,Sí,Baja,Control de calidad
598,Pintar,20,No,Media,Control de calidad
599,Control de calidad,55,No,Baja,Instalar ruedas
600,Instalar ruedas,10,Sí,Media,Ensamblar marco
601,Instalar ruedas,43,No,Baja,Ajuste frenos
602,Ajuste frenos,47,No,Media,Ajuste frenos
603,Pintar,35,No,Media,Instalar ruedas
604,Ensamblar marco,55,Sí,Alta,Instalar ruedas
605,Instalar ruedas,38,No,Baja,Control de calidad
606,Ensamblar marco,31,Sí,Alta,Ensamblar marco
607,Ajuste frenos,56,No,Alta,Control de calidad
608,Control de calidad,21,No,Baja,Ajuste frenos
609,Ensamblar marco,41,Sí,Alta,Ajuste frenos
610,Pintar,46,Sí,Alta,Ajuste frenos
611,Pintar,44,No,Alta,Ajuste frenos
612,Ajuste frenos,56,No,Baja,Control de calidad
613,Pintar,48,Sí,Media,Control de calidad
614,Ajuste frenos,13,Sí,Alta,Ajuste frenos
615,Instalar ruedas,33,Sí,Alta,Pintar
616,Control de calidad,17,Sí,Alta,Instalar ruedas
617,Ensamblar marco,47,No,Alta,Ajuste frenos
618,Instalar ruedas,54,No,Alta,Pintar
619,Pintar,48,Sí,Baja,Instalar ruedas
620,Pintar,48,No,Media,Ajuste frenos
621,Ensamblar marco,29,Sí,Media,Instalar ruedas
622,Instalar ruedas,58,No,Media,Control de calidad
623,Ensamblar marco,52,No,Baja,Control de calidad
624,Instalar ruedas,21,Sí,Baja,Instalar ruedas
625,Ajuste frenos,28,No,Baja,Instalar ruedas
626,Control de calidad,59,No,Media,Ensamblar marco
627,Ajuste frenos,49,Sí,Media,Pintar
628,Ajuste frenos,34,No,Media,Instalar ruedas
629,Ensamblar marco,32,Sí,Alta,Pintar
630,Pintar,44,No,Media,Pintar
631,Pintar,58,No,Alta,Ensamblar marco
632,Control de calidad,39,No,Baja,Ensamblar marco
633,Pintar,22,No,Media,Control de calidad
634,Ajuste frenos,45,Sí,Alta,Ensamblar marco
635,Control de calidad,11,No,Baja,Ajuste frenos
636,Control de calidad,49,Sí,Alta,Instalar ruedas
637,Control de calidad,57,Sí,Baja,Ajuste frenos
638,Ensamblar marco,36,Sí,Alta,Ensamblar marco
639,Ajuste frenos,27,No,Baja,Instalar ruedas
640,Instalar ruedas,46,No,Baja,Ensamblar marco
641,Instalar ruedas,11,No,Alta,Ensamblar marco
642,Control de calidad,20,No,Baja,Ensamblar marco
643,Instalar ruedas,37,Sí,Alta,Instalar ruedas
644,Control de calidad,27,No,Media,Control de calidad
645,Control de calidad,24,Sí,Alta,Ajuste frenos
646,Instalar ruedas,58,Sí,Media,Ajuste frenos
647,Control de calidad,50,Sí,Media,Instalar ruedas
648,Instalar ruedas,50,Sí,Media,Ajuste frenos
649,Pintar,57,No,Baja,Ensamblar marco
650,Ensamblar marco,40,No,Media,Ensamblar marco
651,Ensamblar marco,12,No,Media,Instalar ruedas
652,Ensamblar marco,34,No,Alta,Instalar ruedas
653,Control de calidad,45,Sí,Media,Ajuste frenos
654,Pintar,34,Sí,Alta,Pintar
655,Ajuste frenos,51,Sí,Baja,Ensamblar marco
656,Ensamblar marco,14,Sí,Baja,Pintar
657,Ensamblar marco,26,No,Media,Ensamblar marco
658,Pintar,43,Sí,Alta,Instalar ruedas
659,Instalar ruedas,26,No,Baja,Ensamblar marco
660,Ensamblar marco,24,No,Media,Ajuste frenos
661,Pintar,48,Sí,Media,Ensamblar marco
662,Ajuste frenos,38,Sí,Media,Ensamblar marco
663,Ajuste frenos,32,No,Media,Ensamblar marco
664,Ajuste frenos,24,No,Alta,Instalar ruedas
665,Pintar,53,Sí,Alta,Ajuste frenos
666,Pintar,18,Sí,Baja,Ensamblar marco
667,Instalar ruedas,40,Sí,Baja,Control de calidad
668,Pintar,18,Sí,Baja,Instalar ruedas
669,Ensamblar marco,20,Sí,Alta,Pintar
670,Instalar ruedas,47,No,Baja,Ajuste frenos
671,Pintar,40,Sí,Baja,Instalar ruedas
672,Control de calidad,22,No,Alta,Ajuste frenos
673,Pintar,32,Sí,Alta,Control de calidad
674,Control de calidad,46,Sí,Alta,Ensamblar marco
675,Ajuste frenos,40,Sí,Baja,Pintar
676,Control de calidad,11,No,Baja,Ajuste frenos
677,Instalar ruedas,31,No,Alta,Pintar
678,Ensamblar marco,57,Sí,Baja,Ensamblar marco
679,Ajuste frenos,58,Sí,Baja,Ensamblar marco
680,Control de calidad,20,No,Media,Control de calidad
681,Ensamblar marco,55,Sí,Alta,Control de calidad
682,Control de calidad,20,No,Baja,Control de calidad
683,Pintar,30,Sí,Alta,Ensamblar marco
684,Instalar ruedas,42,Sí,Baja,Control de calidad
685,Instalar ruedas,27,Sí,Alta,Ajuste frenos
686,Control de calidad,18,No,Baja,Ajuste frenos
687,Ensamblar marco,56,Sí,Alta,Control de calidad
688,Instalar ruedas,43,Sí,Alta,Pintar
689,Instalar ruedas,33,No,Media,Control de calidad
690,Control de calidad,52,No,Alta,Control de calidad
691,Instalar ruedas,53,Sí,Baja,Instalar ruedas
692,Control de calidad,51,No,Media,Pintar
693,Pintar,43,No,Baja,Ensamblar marco
694,Control de calidad,56,No,Media,Pintar
695,Ajuste frenos,25,No,Alta,Control de calidad
696,Ajuste frenos,19,No,Alta,Pintar
697,Control de calidad,23,Sí,Alta,Control de calidad
698,Instalar ruedas,37,Sí,Alta,Control de calidad
699,Ajuste frenos,24,Sí,Media,Ajuste frenos
700,Ajuste frenos,30,Sí,Media,Ajuste frenos
701,Ajuste frenos,42,No,Media,Ensamblar marco
702,Instalar ruedas,51,Sí,Media,Control de calidad
703,Control de calidad,34,No,Media,Pintar
704,Ensamblar marco,17,No,Alta,Control de calidad
705,Ensamblar marco,44,No,Alta,Instalar ruedas
706,Instalar ruedas,16,No,Media,Instalar ruedas
707,Control de calidad,19,Sí,Media,Pintar
708,Control de calidad,55,Sí,Baja,Ensamblar marco
709,Control de calidad,36,Sí,Baja,Ajuste frenos
710,Pintar,10,No,Alta,Control de calidad
711,Control de calidad,22,Sí,Media,Ajuste frenos
712,Ajuste frenos,59,Sí,Baja,Ensamblar marco
713,Control de calidad,46,No,Alta,Instalar ruedas
714,Instalar ruedas,35,Sí,Alta,Pintar
715,Pintar,24,Sí,Baja,Ajuste frenos
716,Instalar ruedas,38,Sí,Alta,Ensamblar marco
717,Ajuste frenos,40,Sí,Baja,Ensamblar marco
718,Control de calidad,36,Sí,Baja,Ajuste frenos
719,Pintar,24,No,Media,Instalar ruedas
720,Ensamblar marco,11,Sí,Alta,Ajuste frenos
721,Pintar,52,No,Baja,Pintar
722,Control de calidad,39,Sí,Baja,Control de calidad
723,Instalar ruedas,42,No,Baja,Ensamblar marco
724,Control de calidad,11,No,Baja,Pintar
725,Control de calidad,36,Sí,Alta,Ajuste frenos
726,Ajuste frenos,44,No,Baja,Control de calidad
727,Control de calidad,59,Sí,Baja,Instalar ruedas
728,Pintar,50,No,Baja,Ajuste frenos
729,Pintar,35,Sí,Alta,Instalar ruedas
730,Ajuste frenos,28,Sí,Baja,Pintar
731,Instalar ruedas,25,Sí,Baja,Ajuste frenos
732,Ensamblar marco,46,No,Media,Control de calidad
733,Pintar,51,Sí,Alta,Ensamblar marco
734,Instalar ruedas,26,Sí,Baja,Ajuste frenos
735,Ajuste frenos,58,No,Media,Instalar ruedas
736,Ajuste frenos,45,No,Alta,Pintar
737,Control de calidad,24,Sí,Baja,Control de calidad
738,Instalar ruedas,44,No,Media,Ajuste frenos
739,Pintar,22,No,Media,Ensamblar marco
740,Ensamblar marco,13,Sí,Media,Ajuste frenos
741,Control de calidad,25,Sí,Alta,Control de calidad
742,Ajuste frenos,16,No,Baja,Ajuste frenos
743,Instalar ruedas,13,No,Media,Ensamblar marco
744,Ajuste frenos,12,Sí,Media,Ajuste frenos
745,Ajuste frenos,32,No,Alta,Ajuste frenos
746,Ensamblar marco,42,No,Media,Ensamblar marco
747,Instalar ruedas,27,No,Alta,Ajuste frenos
748,Instalar ruedas,10,Sí,Media,Ajuste frenos
749,Pintar,50,Sí,Alta,Ensamblar marco
750,Pintar,15,Sí,Alta,Pintar
751,Ajuste frenos,24,No,Baja,Ajuste frenos
752,Ensamblar marco,11,Sí,Baja,Ajuste frenos
753,Ensamblar marco,52,Sí,Media,Ensamblar marco
754,Control de calidad,56,No,Baja,Instalar ruedas
755,Ajuste frenos,58,Sí,Alta,Pintar
756,Ensamblar marco,25,No,Alta,Control de calidad
757,Pintar,17,Sí,Media,Ensamblar marco
758,Control de calidad,44,Sí,Media,Control de calidad
759,Ensamblar marco,18,No,Baja,Instalar ruedas
760,Ensamblar marco,29,Sí,Baja,Instalar ruedas
761,Pintar,36,Sí,Baja,Pintar
762,Pintar,41,Sí,Baja,Ensamblar marco
763,Instalar ruedas,44,Sí,Baja,Ajuste frenos
764,Instalar ruedas,44,No,Media,Ajuste frenos
765,Instalar ruedas,19,No,Baja,Control de calidad
766,Control de calidad,58,No,Baja,Ajuste frenos
767,Ajuste frenos,51,No,Media,Instalar ruedas
768,Control de calidad,59,No,Alta,Control de calidad
769,Ensamblar marco,55,Sí,Baja,Ajuste frenos
770,Control de calidad,10,No,Alta,Ajuste frenos
771,Control de calidad,50,No,Media,Instalar ruedas
772,Control de calidad,16,Sí,Alta,Pintar
773,Control de calidad,55,Sí,Media,Control de calidad
774,Instalar ruedas,58,No,Baja,Instalar ruedas
775,Instalar ruedas,26,No,Baja,Ensamblar marco
776,Ensamblar marco,13,Sí,Media,Ajuste frenos
777,Instalar ruedas,20,Sí,Media,Ensamblar marco
778,Pintar,11,Sí,Alta,Ensamblar marco
779,Control de calidad,53,Sí,Alta,Ajuste frenos
780,Ensamblar marco,18,No,Baja,Pintar
781,Instalar ruedas,18,No,Media,Control de calidad
782,Instalar ruedas,24,No,Media,Control de calidad
783,Control de calidad,56,Sí,Media,Control de calidad
784,Control de calidad,22,No,Media,Pintar
785,Instalar ruedas,20,Sí,Media,Control de calidad
786,Ensamblar marco,11,Sí,Alta,Ajuste frenos
787,Ajuste frenos,41,Sí,Alta,Instalar ruedas
788,Ajuste frenos,50,No,Alta,Control de calidad
789,Control de calidad,41,Sí,Alta,Ajuste frenos
790,Control de calidad,11,No,Alta,Ajuste frenos
791,Pintar,11,No,Baja,Instalar ruedas
792,Ensamblar marco,38,No,Baja,Instalar ruedas
793,Ajuste frenos,16,No,Alta,Pintar
794,Pintar,49,No,Media,Instalar ruedas
795,Pintar,23,Sí,Alta,Instalar ruedas
796,Instalar ruedas,59,No,Media,Ensamblar marco
797,Control de calidad,59,No,Baja,Ensamblar marco
798,Ajuste frenos,15,No,Media,Pintar
799,Control de calidad,18,No,Media,Control de calidad
800,Control de calidad,32,No,Alta,Ajuste frenos
801,Pintar,34,No,Alta,Instalar ruedas
802,Ensamblar marco,55,Sí,Media,Pintar
803,Control de calidad,41,No,Baja,Pintar
804,Control de calidad,40,Sí,Media,Pintar
805,Control de calidad,34,Sí,Alta,Pintar
806,Instalar ruedas,54,Sí,Baja,Instalar ruedas
807,Instalar ruedas,53,Sí,Media,Instalar ruedas
808,Pintar,25,Sí,Media,Pintar
809,Instalar ruedas,43,No,Baja,Ensamblar marco
810,Ensamblar marco,37,No,Alta,Ajuste frenos
811,Instalar ruedas,39,Sí,Baja,Instalar ruedas
812,Ajuste frenos,46,No,Media,Ajuste frenos
813,Pintar,38,Sí,Alta,Control de calidad
814,Pintar,26,No,Media,Ensamblar marco
815,Pintar,34,Sí,Alta,Ajuste frenos
816,Ensamblar marco,21,Sí,Alta,Pintar
817,Control de calidad,23,Sí,Media,Ensamblar marco
818,Instalar ruedas,49,No,Media,Ensamblar marco
819,Ajuste frenos,58,No,Alta,Pintar
820,Ensamblar marco,23,Sí,Media,Ajuste frenos
821,Ajuste frenos,25,No,Baja,Instalar ruedas
822,Ensamblar marco,14,No,Media,Pintar
823,Control de calidad,42,Sí,Media,Ensamblar marco
824,Pintar,22,Sí,Media,Ensamblar marco
825,Pintar,35,Sí,Baja,Ensamblar marco
826,Ensamblar marco,47,Sí,Media,Instalar ruedas
827,Instalar ruedas,28,No,Alta,Instalar ruedas
828,Pintar,29,No,Media,Pintar
829,Control de calidad,53,No,Media,Ajuste frenos
830,Ensamblar marco,18,Sí,Alta,Ajuste frenos
831,Control de calidad,58,No,Media,Pintar
832,Control de calidad,27,No,Baja,Instalar ruedas
833,Pintar,38,No,Media,Control de calidad
834,Control de calidad,58,Sí,Media,Ajuste frenos
835,Ensamblar marco,41,No,Baja,Instalar ruedas
836,Control de calidad,15,No,Alta,Ensamblar marco
837,Ajuste frenos,59,No,Alta,Control de calidad
838,Pintar,58,No,Media,Ensamblar marco
839,Pintar,23,Sí,Baja,Instalar ruedas
840,Ensamblar marco,32,No,Media,Ensamblar marco
841,Instalar ruedas,52,Sí,Media,Instalar ruedas
842,Ensamblar marco,51,Sí,Media,Ajuste frenos
843,Ensamblar marco,55,No,Alta,Ensamblar marco
844,Control de calidad,24,No,Media,Pintar
845,Instalar ruedas,45,Sí,Media,Pintar
846,Control de calidad,49,Sí,Media,Instalar ruedas
847,Pintar,57,Sí,Media,Ensamblar marco
848,Pintar,31,Sí,Alta,Ajuste frenos
849,Ajuste frenos,39,Sí,Baja,Ensamblar marco
850,Control de calidad,51,No,Baja,Ensamblar marco
851,Ajuste frenos,25,No,Alta,Instalar ruedas
852,Ajuste frenos,59,Sí,Media,Control de calidad
853,Control de calidad,49,No,Alta,Ajuste frenos
854,Ensamblar marco,46,Sí,Media,Pintar
855,Ensamblar marco,38,No,Baja,Ensamblar marco
856,Ensamblar marco,27,No,Media,Pintar
857,Ensamblar marco,41,No,Alta,Pintar
858,Control de calidad,56,No,Media,Control de calidad
859,Instalar ruedas,29,No,Baja,Pintar
860,Ajuste frenos,54,No,Alta,Pintar
861,Pintar,15,No,Alta,Control de calidad
862,Pintar,52,No,Alta,Pintar
863,Pintar,51,Sí,Baja,Control de calidad
864,Ensamblar marco,56,Sí,Media,Control de calidad
865,Control de calidad,29,No,Media,Pintar
866,Control de calidad,36,Sí,Alta,Pintar
867,Ajuste frenos,41,No,Alta,Instalar ruedas
868,Control de calidad,17,No,Baja,Control de calidad
869,Control de calidad,24,No,Alta,Control de calidad
870,Control de calidad,42,No,Alta,Control de calidad
871,Ensamblar marco,40,No,Baja,Control de calidad
872,Control de calidad,45,Sí,Baja,Pintar
873,Pintar,17,Sí,Alta,Instalar ruedas
874,Ajuste frenos,44,Sí,Media,Ajuste frenos
875,Instalar ruedas,57,No,Alta,Control de calidad
876,Ensamblar marco,36,Sí,Media,Ajuste frenos
877,Control de calidad,17,Sí,Baja,Ajuste frenos
878,Ensamblar marco,31,Sí,Media,Instalar ruedas
879,Ajuste frenos,12,Sí,Media,Ajuste frenos
880,Ajuste frenos,59,No,Alta,Control de calidad
881,Ajuste frenos,27,No,Media,Control de calidad
882,Pintar,59,Sí,Media,Ajuste frenos
883,Control de calidad,54,No,Baja,Instalar ruedas
884,Ensamblar marco,31,Sí,Baja,Instalar ruedas
885,Instalar ruedas,37,Sí,Alta,Instalar ruedas
886,Control de calidad,32,Sí,Alta,Ajuste frenos
887,Instalar ruedas,32,No,Baja,Ajuste frenos
888,Ensamblar marco,18,No,Media,Pintar
889,Ajuste frenos,37,Sí,Media,Pintar
890,Instalar ruedas,58,Sí,Alta,Ensamblar marco
891,Pintar,33,Sí,Media,Ajuste frenos
892,Ensamblar marco,25,Sí,Alta,Ensamblar marco
893,Ensamblar marco,10,Sí,Baja,Pintar
894,Ensamblar marco,10,Sí,Alta,Ajuste frenos
895,Control de calidad,14,No,Alta,Ensamblar marco
896,Ensamblar marco,50,No,Alta,Instalar ruedas
897,Instalar ruedas,49,No,Baja,Ensamblar marco
898,Control de calidad,10,No,Media,Instalar ruedas
899,Control de calidad,42,No,Media,Ajuste frenos
900,Ensamblar marco,54,No,Baja,Ensamblar marco
901,Instalar ruedas,59,No,Alta,Control de calidad
902,Pintar,34,Sí,Alta,Ajuste frenos
903,Ensamblar marco,33,Sí,Media,Pintar
904,Ajuste frenos,17,No,Alta,Pintar
905,Ajuste frenos,47,No,Media,Ensamblar marco
906,Ensamblar marco,24,Sí,Alta,Ensamblar marco
907,Ajuste frenos,14,Sí,Media,Control de calidad
908,Ensamblar marco,34,Sí,Baja,Instalar ruedas
909,Pintar,36,No,Media,Ajuste frenos
910,Ajuste frenos,54,Sí,Baja,Control de calidad
911,Pintar,13,Sí,Alta,Control de calidad
912,Instalar ruedas,12,Sí,Baja,Control de calidad
913,Instalar ruedas,45,Sí,Alta,Ajuste frenos
914,Pintar,21,No,Alta,Ajuste frenos
915,Ensamblar marco,12,Sí,Alta,Ajuste frenos
916,Instalar ruedas,35,Sí,Media,Pintar
917,Control de calidad,20,No,Baja,Ajuste frenos
918,Instalar ruedas,27,No,Alta,Ensamblar marco
919,Ajuste frenos,58,Sí,Media,Pintar
920,Ensamblar marco,16,Sí,Alta,Ajuste frenos
921,Ajuste frenos,11,No,Media,Instalar ruedas
922,Control de calidad,28,No,Baja,Pintar
923,Ensamblar marco,59,Sí,Baja,Ensamblar marco
924,Ajuste frenos,48,No,Alta,Control de calidad
925,Control de calidad,11,No,Media,Ajuste frenos
926,Control de calidad,54,No,Alta,Ensamblar marco
927,Ensamblar marco,46,No,Baja,Instalar ruedas
928,Instalar ruedas,21,Sí,Baja,Pintar
929,Ensamblar marco,30,Sí,Media,Control de calidad
930,Instalar ruedas,17,Sí,Baja,Ajuste frenos
931,Control de calidad,30,No,Baja,Ajuste frenos
932,Instalar ruedas,52,Sí,Alta,Ajuste frenos
933,Pintar,58,Sí,Alta,Ajuste frenos
934,Pintar,23,Sí,Baja,Pintar
935,Ajuste frenos,47,Sí,Alta,Ajuste frenos
936,Control de calidad,36,Sí,Alta,Instalar ruedas
937,Instalar ruedas,36,No,Media,Ensamblar marco
938,Ajuste frenos,21,No,Alta,Ensamblar marco
939,Ensamblar marco,53,No,Alta,Ajuste frenos
940,Control de calidad,36,No,Baja,Pintar
941,Pintar,11,Sí,Baja,Ensamblar marco
942,Ajuste frenos,25,No,Media,Ajuste frenos
943,Pintar,41,No,Baja,Ajuste frenos
944,Instalar ruedas,32,No,Alta,Control de calidad
945,Pintar,23,No,Baja,Control de calidad
946,Ensamblar marco,55,No,Baja,Ajuste frenos
947,Ajuste frenos,41,Sí,Media,Pintar
948,Ensamblar marco,35,No,Alta,Ensamblar marco
949,Ajuste frenos,40,Sí,Baja,Ajuste frenos
950,Instalar ruedas,50,No,Baja,Instalar ruedas
951,Ensamblar marco,39,Sí,Baja,Control de calidad
952,Control de calidad,59,No,Alta,Ajuste frenos
953,Control de calidad,41,No,Alta,Instalar ruedas
954,Control de calidad,40,No,Baja,Control de calidad
955,Pintar,22,Sí,Alta,Pintar
956,Pintar,50,Sí,Alta,Instalar ruedas
957,Instalar ruedas,21,Sí,Media,Instalar ruedas
958,Ajuste frenos,59,Sí,Baja,Control de calidad
959,Ajuste frenos,33,No,Alta,Instalar ruedas
960,Ensamblar marco,15,Sí,Baja,Instalar ruedas
961,Ajuste frenos,33,No,Alta,Ajuste frenos
962,Control de calidad,38,No,Baja,Ajuste frenos
963,Instalar ruedas,29,No,Alta,Control de calidad
964,Pintar,11,No,Baja,Instalar ruedas
965,Instalar ruedas,39,Sí,Alta,Instalar ruedas
966,Pintar,17,No,Baja,Pintar
967,Control de calidad,10,Sí,Baja,Instalar ruedas
968,Control de calidad,50,No,Alta,Ensamblar marco
969,Control de calidad,31,Sí,Media,Pintar
970,Control de calidad,21,No,Baja,Pintar
971,Ensamblar marco,34,No,Baja,Ajuste frenos
972,Pintar,24,No,Media,Control de calidad
973,Control de calidad,56,No,Media,Control de calidad
974,Instalar ruedas,12,Sí,Baja,Control de calidad
975,Instalar ruedas,48,Sí,Alta,Ensamblar marco
976,Control de calidad,17,No,Baja,Pintar
977,Ajuste frenos,10,Sí,Alta,Ensamblar marco
978,Instalar ruedas,55,No,Media,Control de calidad
979,Ajuste frenos,16,Sí,Baja,Ensamblar marco
980,Control de calidad,46,No,Media,Pintar
981,Pintar,42,No,Baja,Ajuste frenos
982,Instalar ruedas,16,Sí,Media,Instalar ruedas
983,Pintar,13,Sí,Baja,Control de calidad
984,Control de calidad,36,No,Baja,Control de calidad
985,Ajuste frenos,17,Sí,Media,Instalar ruedas
986,Instalar ruedas,50,Sí,Alta,Instalar ruedas
987,Control de calidad,26,Sí,Baja,Ensamblar marco
988,Instalar ruedas,48,Sí,Alta,Pintar
989,Ajuste frenos,23,No,Media,Ajuste frenos
990,Instalar ruedas,32,No,Alta,Control de calidad
991,Pintar,59,No,Baja,Instalar ruedas
992,Control de calidad,34,Sí,Baja,Pintar
993,Control de calidad,41,Sí,Alta,Control de calidad
994,Pintar,21,Sí,Media,Instalar ruedas
995,Instalar ruedas,32,No,Alta,Instalar ruedas
996,Ensamblar marco,26,Sí,Alta,Ajuste frenos
997,Pintar,48,Sí,Media,Ensamblar marco
998,Pintar,13,No,Alta,Pintar
999,Ajuste frenos,36,Sí,Baja,Ensamblar marco
1000,Control de calidad,36,Sí,Media,Ensamblar marco
1001,Control de calidad,31,No,Media,Ensamblar marco
1002,Instalar ruedas,28,Sí,Baja,Pintar
1003,Ensamblar marco,36,Sí,Media,Pintar
1004,Ajuste frenos,46,Sí,Alta,Pintar
1005,Instalar ruedas,10,No,Baja,Pintar
1006,Ajuste frenos,20,No,Baja,Ajuste frenos
1007,Ensamblar marco,23,Sí,Media,Ensamblar marco
1008,Ensamblar marco,30,Sí,Alta,Instalar ruedas
1009,Pintar,31,Sí,Baja,Pintar
1010,Control de calidad,13,No,Media,Control de calidad
1011,Ensamblar marco,56,No,Alta,Pintar
1012,Ajuste frenos,32,No,Baja,Pintar
1013,Instalar ruedas,33,No,Alta,Pintar
1014,Ajuste frenos,31,Sí,Media,Ajuste frenos
1015,Ensamblar marco,18,Sí,Alta,Control de calidad
1016,Control de calidad,57,Sí,Media,Ensamblar marco
1017,Ensamblar marco,12,Sí,Media,Control de calidad
1018,Instalar ruedas,34,No,Baja,Control de calidad
1019,Control de calidad,49,No,Baja,Control de calidad
1020,Instalar ruedas,57,No,Baja,Ensamblar marco
1021,Pintar,14,No,Baja,Ensamblar marco
1022,Ensamblar marco,56,No,Baja,Ajuste frenos
1023,Control de calidad,22,Sí,Baja,Ajuste frenos
1024,Ensamblar marco,58,Sí,Alta,Control de calidad
1025,Control de calidad,23,Sí,Baja,Instalar ruedas
1026,Ensamblar marco,50,Sí,Baja,Instalar ruedas
1027,Instalar ruedas,52,Sí,Media,Pintar
1028,Instalar ruedas,45,Sí,Alta,Control de calidad
1029,Pintar,51,Sí,Alta,Ajuste frenos
1030,Pintar,14,Sí,Media,Control de calidad
1031,Ensamblar marco,27,Sí,Baja,Instalar ruedas
1032,Ensamblar marco,13,Sí,Alta,Ensamblar marco
1033,Ajuste frenos,34,No,Alta,Ajuste frenos
1034,Ensamblar marco,29,Sí,Media,Control de calidad
1035,Control de calidad,26,No,Baja,Pintar
1036,Control de calidad,20,No,Baja,Instalar ruedas
1037,Pintar,52,No,Media,Ensamblar marco
1038,Pintar,47,Sí,Baja,Ensamblar marco
1039,Ajuste frenos,57,No,Media,Ajuste frenos
1040,Ajuste frenos,30,Sí,Baja,Control de calidad
1041,Control de calidad,16,Sí,Media,Ajuste frenos
1042,Ajuste frenos,44,No,Baja,Instalar ruedas
1043,Pintar,55,No,Media,Control de calidad
1044,Control de calidad,26,Sí,Media,Pintar
1045,Control de calidad,29,No,Baja,Ajuste frenos
1046,Control de calidad,51,Sí,Baja,Pintar
1047,Control de calidad,11,Sí,Baja,Pintar
1048,Ensamblar marco,57,No,Alta,Instalar ruedas
1049,Pintar,38,No,Alta,Instalar ruedas
1050,Instalar ruedas,47,No,Baja,Instalar ruedas
1051,Control de calidad,20,Sí,Alta,Control de calidad
1052,Ensamblar marco,11,No,Baja,Ajuste frenos
1053,Ensamblar marco,46,No,Media,Control de calidad
1054,Instalar ruedas,15,Sí,Media,Pintar
1055,Ajuste frenos,28,No,Baja,Instalar ruedas
1056,Ensamblar marco,41,No,Media,Pintar
1057,Pintar,28,No,Alta,Ajuste frenos
1058,Ensamblar marco,57,No,Baja,Instalar ruedas
1059,Ajuste frenos,12,Sí,Baja,Ensamblar marco
